VALID,URGENT,AIRCRAFT,REPORT,ICING,TURB,ARTCC,PROD_ID,LAT,LON,geometry
202412211455,F,A20N,TUL UA /OV TUL360040/TM 1455/FL350/TP A20N/TB LGT CHOP/RM ZKC/FDC/CW,,LGT CHOP,ZKC,202412211500-KMSC-UBUS01-PIREP,36.8651,-95.8881,POINT (-95.88811 36.86511066672067)
202405292133,F,CRJ9,CMI UA /OV CMI340015/TM 2133/FL340/TP CRJ9/TB NEG,,NEG,ZAU,,40.2673,-88.3872,POINT (-88.38718094861466 40.267342183991076)
202408011119,F,CRJ2,RFD UA /OV RFD220010/TM 1119/FL100/TP CRJ2/WX -RA/TB LGT CHOP,,LGT CHOP,ZAU,202408011100-KMSC-UBUS01-PIREP,42.0638,-89.2322,POINT (-89.23220639168281 42.06382122453652)
202404010017,F,CRJ9,CMH UA /OV ROD/TM 0017/FL270/TP CRJ9/TB INTMT -CONS LGT CHOP,,INTMT -CONS LGT CHOP,ZID,,40.29,-84.04,POINT (-84.04 40.29)
202402191740,F,A320,SZL UA /OV SZL/TM 1740/FL370/TP A320/TB LGT CONS/RM /ZKCFDC,,LGT CONS,ZKC,,38.7303,-93.548,POINT (-93.54799 38.73029)
202401091731,F,SB20,AKN UA /OV AKN221068/TM 1731/FL300/TP SB20/TB LGT-MOD/RM (ZAN,,LGT-MOD,ZAN,,57.8146,-158.0701,POINT (-158.07008037346228 57.81459319333878)
202412161426,F,T6,SSF UA /OV SSF/TM 1426/FL011/TP T6/SK OVC012-TOPUNKN,,,ZHU,202412161400-KMSC-UBUS01-PIREP,29.337,-98.4711,POINT (-98.47105 29.33698)
202408310408,F,A320,BNA UA /OV BNA270030/TM 0408/FL200/TP A320/TB SMOOTH/RM ZME,,SMOOTH,ZME,202408310400-KMSC-UBUS01-PIREP,36.1189,-87.3082,POINT (-87.30818860885368 36.11889)
202402081414,F,E75S,FYV UA /OV RZC350015/TM 1414/FL120/TP E75S/TB LGT CHOP 110-120/RM ZKCFDC,,LGT CHOP 110-120,ZME,,36.4962,-94.1738,POINT (-94.17383576325777 36.496221880629996)
202411062313,F,GALX,DMN UA /OV DMN/TM 2313/FL380/TP GALX/TB MOD TURB FL360/RM ZAB FDCS,,MOD TURB FL360,ZAB,202411062300-KMSC-UBUS01-PIREP,32.2623,-107.7206,POINT (-107.72064 32.26231)
