VALID,URGENT,AIRCRAFT,REPORT,TURB,ARTCC,LAT,LON,geometry,Altitude (ft in msl),Altitude (hpa),turbulence_category,Approximated Altitude in hPa
2024-01-14 04:48:00,F,A321,HRO UA /OV HRO135010/TM 0448/FL300/TP A321/TB MOD/RM ZME,MOD,ZME,36.1437,-93.0086,POINT (-93.00855993940871 36.143659323851146),30000,301,MOD,300
2024-08-22 12:04:00,F,A319,FOD UA /OV FOD/TM 1204/FL270/TP A319/TB OCNL LGT CHOP,OCNL LGT CHOP,ZMP,42.5497,-94.2032,POINT (-94.203203 42.549741),27000,344,LGT,350
2024-03-05 15:28:00,F,B752,INL UA /OV INL/TM 1528/FL340/TP B752/TB NEG,NEG,ZMP,48.5595,-93.3956,POINT (-93.3955519 48.55946773),34000,250,NEG,250
2024-03-08 13:44:00,F,A320,GRD UA /OV IRQ/TM 1344/FL360/TP A320/TB INTMT LGT CHOP/RM ZTLFD-23,INTMT LGT CHOP,ZTL,33.71,-82.16,POINT (-82.16 33.71),36000,227,LGT,225
2024-02-28 19:11:00,F,E135,PKB UA /OV JPU070025/TM 1911/FL050/TP E135/TB CONS LGT OCNL MOD CHOP /IC NEG,CONS LGT OCNL MOD CHOP,ZOB,39.5825,-80.863,POINT (-80.86297521013846 39.58251993624374),5000,843,MOD,850
2024-05-03 02:30:00,F,B77W,ABR UA /OV ABR/TM 0230/FL330/TP B77W/TB OCNL LGT CAT,OCNL LGT CAT,ZMP,45.45,-98.42,POINT (-98.42 45.45),33000,262,LGT,250
2024-12-11 02:33:00,F,B737,IND UA /OV HNN/TM 0233/FL260/TP B737/TB NEG,NEG,ZID,38.75,-82.03,POINT (-82.03 38.75),26000,360,NEG,350
2024-07-17 20:03:00,F,CRJ9,CLT UA /OV CLT/TM 2003/FL190/TP CRJ9/TB NEG CHOP/IC NEG/RM ZTLFD-29,NEG CHOP,ZTL,35.2225,-80.9543,POINT (-80.95431 35.22255),19000,485,NEG,500
2024-12-11 16:09:00,F,BCS3,ILM UA /OV ILM/TM 1609/FL350/TP BCS3/TB LIGHT CHOP,LIGHT CHOP,ZDC,34.27,-77.9,POINT (-77.9 34.27),35000,238,LGT,250
2024-03-08 21:59:00,F,A320,ORD UA /OV 35 SE ORD/TM 2159/FL080/TP A320/SK IMC/TB MOSTLY SMOOTH OCCL LT CHOP/IC NEG/RM LT TO MOD PRECIP ON ARRIVAL  OCCL LT CHOP,MOSTLY SMOOTH OCCL LT CHOP,ZAU,41.575,-87.3769,POINT (-87.37694851553685 41.57502763347903),8000,752,NEG,750
